run_id,operator,executed_at,countries,total_jobs,success_count,failure_count,duration,status,module,persona,variant
19204bfe-c4a1-4aeb-9acc-eadb5f009cb1,admin@platform.com,2026-03-07T11:09:56.760281+00:00,TR,4,1,0,6790,success,global,individual,A
d0f5d644-e51e-4432-8fbd-29ae54b7accc,admin@platform.com,2026-03-07T11:09:26.609130+00:00,TR|DE|FR,12,3,0,31017,success,global,individual,A
3d7fa73b-b2bd-413c-bf00-f03782d7d3c2,admin@platform.com,2026-03-07T11:01:51.128593+00:00,TR,4,1,0,2246,success,stress100-global-lite,individual,A
4929ffca-8779-4d16-9409-e8d8edf1cf64,admin@platform.com,2026-03-07T11:01:46.989761+00:00,TR,4,1,0,2284,success,stress100-global-lite,individual,A
1222e930-e300-46c2-8a45-4a540c05d09b,admin@platform.com,2026-03-07T11:01:42.843965+00:00,TR,4,1,0,2266,success,stress100-global-lite,individual,A
6420ade8-0860-4233-a2b4-5c7c7466e405,admin@platform.com,2026-03-07T11:01:38.671666+00:00,TR,4,1,0,2286,success,stress100-global-lite,individual,A
4762d401-f703-46f4-a4bb-3cfd052dd180,admin@platform.com,2026-03-07T11:01:34.508416+00:00,TR,4,1,0,2235,success,stress100-global-lite,individual,A
398d323f-8ea2-4f0e-9aa7-3f28724e0caa,admin@platform.com,2026-03-07T11:01:30.372905+00:00,TR,4,1,0,2231,success,stress100-global-lite,individual,A
fcd022b9-0500-4ae0-be0b-ae541bf2c17b,admin@platform.com,2026-03-07T11:01:26.283531+00:00,TR,4,1,0,2246,success,stress100-global-lite,individual,A
fd90706f-242b-4789-aa95-8202045401da,admin@platform.com,2026-03-07T11:01:22.125981+00:00,TR,4,1,0,2279,success,stress100-global-lite,individual,A
f51b523c-94e2-4d1b-a8d4-59a915fc35eb,admin@platform.com,2026-03-07T11:01:17.978891+00:00,TR,4,1,0,2228,success,stress100-global-lite,individual,A
d4185e85-6d86-450e-9ad9-7a845cd07adc,admin@platform.com,2026-03-07T11:01:13.562336+00:00,TR,4,1,0,2254,success,stress100-global-lite,individual,A
b78dcde1-1448-421c-8ad3-ee0d9de7639d,admin@platform.com,2026-03-07T11:01:09.403867+00:00,TR,4,1,0,2246,success,stress100-global-lite,individual,A
430f2235-49ba-4134-bd99-0525c79d0e35,admin@platform.com,2026-03-07T11:01:05.265349+00:00,TR,4,1,0,2264,success,stress100-global-lite,individual,A
0cdfef23-3819-4cad-83ea-a3354b9fa493,admin@platform.com,2026-03-07T11:01:00.633018+00:00,TR,4,1,0,2239,success,stress100-global-lite,individual,A
3488d9a9-270f-4eab-98a1-300c4703ce89,admin@platform.com,2026-03-07T11:00:56.509612+00:00,TR,4,1,0,2239,success,stress100-global-lite,individual,A
159c6568-c83c-4efc-aa1e-c2bddbad3fed,admin@platform.com,2026-03-07T11:00:52.412228+00:00,TR,4,1,0,2245,success,stress100-global-lite,individual,A
3db1ec43-dba4-4f62-bc4d-2fb0fd1d8619,admin@platform.com,2026-03-07T11:00:48.281752+00:00,TR,4,1,0,2242,success,stress100-global-lite,individual,A
392f4812-fc0b-4c21-9531-aa82a833ad47,admin@platform.com,2026-03-07T11:00:44.153423+00:00,TR,4,1,0,2248,success,stress100-global-lite,individual,A
492a9799-7aa7-411c-a914-a4ed42f6050b,admin@platform.com,2026-03-07T11:00:39.991228+00:00,TR,4,1,0,2240,success,stress100-global-lite,individual,A
5c3f0977-6170-42ff-b437-203d1de22e83,admin@platform.com,2026-03-07T11:00:35.875818+00:00,TR,4,1,0,2244,success,stress100-global-lite,individual,A
1398fef4-a50c-435b-a744-e61d0f3f55ff,admin@platform.com,2026-03-07T11:00:31.724912+00:00,TR,4,1,0,4919,success,stress100-global-lite,individual,A
8183364b-6b82-442f-a4ef-510639e02c3b,admin@platform.com,2026-03-07T10:59:04.327629+00:00,TR,4,1,0,2577,success,stress100-global-fast,individual,A
f80df150-e732-48ce-a4c3-8284ca74a636,admin@platform.com,2026-03-07T10:58:59.855852+00:00,TR,4,1,0,2245,success,stress100-global-fast,individual,A
